colorCode,colorName,colorFamily,hexRgb,isVariegated,threadSubtype,upc
3713,Salmon - Very Light,Red,#FDD5D0,false,solid,
761,Salmon - Light,Red,#F8B4AD,false,solid,
760,Salmon,Red,#EC8880,false,solid,
3712,Salmon - Medium,Red,#D95D5D,false,solid,
3328,Salmon - Dark,Red,#BE444A,false,solid,
347,Salmon - Very Dark,Red,#AB1B33,false,solid,
353,Peach,Red,#FDB4A1,false,solid,
352,Coral - Light,Red,#F78372,false,solid,
351,Coral,Red,#ED625B,false,solid,
350,Coral - Medium,Red,#DE3F40,false,solid,
349,Coral - Dark,Red,#C62C38,false,solid,
817,Coral Red - Very Dark,Red,#BB1630,false,solid,
304,Red - Medium,Red,#A10C39,false,solid,
3833,Raspberry - Light,Red,#EA8B96,false,solid,
3832,Raspberry - Medium,Red,#E36370,false,solid,
3831,Raspberry - Dark,Red,#C12B52,false,solid,
777,Red - Deep,Red,#9B0042,false,solid,
3801,Melon - Very Dark,Red,#E4353D,false,solid,
666,Red - Bright,Red,#CE1B33,false,solid,
321,Red,Red,#BD1136,false,solid,
498,Red - Dark,Red,#970B2C,false,solid,
816,Garnet,Red,#921238,false,solid,
815,Garnet - Medium,Red,#800B34,false,solid,
814,Garnet - Dark,Red,#711033,false,solid,
894,Carnation - Very Light,Pink,#FD95A3,false,solid,
893,Carnation - Light,Pink,#F66879,false,solid,
892,Carnation - Medium,Pink,#F44753,false,solid,
891,Carnation - Dark,Pink,#EE3246,false,solid,
818,Baby Pink,Pink,#FEDEDD,false,solid,
957,Geranium - Pale,Pink,#FD99AF,false,solid,
956,Geranium,Pink,#F7566D,false,solid,
3708,Melon - Light,Pink,#FDA0AE,false,solid,
3706,Melon - Medium,Pink,#FD6E70,false,solid,
3705,Melon - Dark,Pink,#F2494F,false,solid,
963,Dusty Rose - Ultra Very Light,Pink,#FDCCD1,false,solid,
3716,Dusty Rose - Very Light,Pink,#FCAFB9,false,solid,
962,Dusty Rose - Medium,Pink,#EB7183,false,solid,
961,Dusty Rose - Dark,Pink,#DE586C,false,solid,
309,Rose - Dark,Pink,#BA2044,false,solid,
819,Baby Pink - Light,Pink,#FCEBDE,false,solid,
3326,Rose - Light,Pink,#F9979C,false,solid,
899,Rose - Medium,Pink,#EA6B78,false,solid,
335,Rose,Pink,#D63D57,false,solid,
326,Rose - Very Dark,Pink,#AC1C37,false,solid,
